[MissionStart]:mission name 'aaa' ; time:2021-04-25 13:49:13.405201
[MissionStart]:mission name 'aaa' ; time:2021-04-25 13:49:18.777552
[MissionStart]:mission name '<module>'; time:2021-04-25 13:56:27.691196
[MissionStart]:mission name '[FrameInfo(frame=<frame at 0x000001B47A363410, file 'D:\\datawork\\syn_market_keep_day.py', line 219, code test>, filename='D:\\datawork\\syn_market_keep_day.py', lineno=219, function='test', code_context=['    loger.logging_start_up(inspect.stack())\n'], index=0), FrameInfo(frame=<frame at 0x000001B469BD7640, file 'D:\\datawork\\syn_market_keep_day.py', line 240, code <module>>, filename='D:\\datawork\\syn_market_keep_day.py', lineno=240, function='<module>', code_context=['    test()\n'], index=0)]'; time:2021-04-25 13:57:52.011209
[MissionStart]:mission name 'test1'; time:2021-04-25 14:03:26.954338
[MissionStart]:mission name 'test2'; time:2021-04-25 14:03:26.955313
[MissionStart]:mission name 'sound_market_chapter_count'; time:2021-04-25 17:21:24.234117
[MissionStart]:mission name 'sound_market_book_count'; time:2021-04-26 10:13:11.867020
[MissionStart]:mission name 'sound_market_chapter_count'; time:2021-04-26 10:13:15.015336
[MissionStart]:mission name 'syn_market_keep_day_admin_new'; time:2021-04-26 11:30:10.228157
[MissionStart]:mission name 'conversion_funnel_count'; time:2021-04-26 11:30:50.232298
[MissionStart]:mission name 'conversion_funnel_count_all_book'; time:2021-04-26 11:46:03.073675
[MissionStart]:mission name 'sound_market_book_count'; time:2021-04-26 12:00:40.373050
[MissionStart]:mission name 'sound_market_chapter_count'; time:2021-04-26 12:00:42.608528
[MissionStart]:mission name 'syn_market_keep_day_admin_new'; time:2021-04-26 13:29:39.855836
[MissionStart]:mission name 'syn_market_keep_day_admin_new'; time:2021-04-26 13:39:02.562493
[MissionStart]:mission name 'syn_market_book_admin_read_situation'; time:2021-04-26 14:13:16.684788
[MissionStart]:mission name 'syn_market_book_admin_read_situation'; time:2021-04-26 14:32:10.067940
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 14:43:25.217993
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 14:44:01.193117
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 14:53:56.849294
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:13:57.885297
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:14:27.911111
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:14:57.824215
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:17:59.381196
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:20:00.612275
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:23:16.980276
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:23:41.408550
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:24:46.503688
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:25:35.589592
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 15:31:39.115945
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 16:32:05.219615
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 16:50:25.108727
[MissionStart]:mission name 'syn_shard_user_day_work'; time:2021-04-28 16:51:07.634893
[MissionStart]:mission name 'syn_market_book_admin_read_situation'; time:2021-04-28 19:23:28.804061
[MissionStart]:mission name 'syn_market_book_admin_read_situation'; time:2021-04-28 19:23:59.189610
[MissionStart]:mission name 'syn_market_book_admin_read_situation'; time:2021-04-28 19:25:38.073003
[MissionStart]:mission name 'sound_market_chapter_count'; time:2021-05-06 09:43:29.238569
[MissionStart]:mission name 'syn_market_book_admin_read_situation'; time:2021-05-11 10:07:25.034835
